                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.96838,                0.69171,                 0.8797,                0.67693,                0.70647,                0.71728,                0.48421,                  1.126,                 0.7401,                0.91094,              1.684e-05,              1.684e-05,              1.684e-05
                     87,                0.96047,                0.67888,                0.87867,                0.68383,                0.69149,                0.71219,                0.48098,                 1.1277,                0.74541,                0.91177,              1.585e-05,              1.585e-05,              1.585e-05
                     88,                0.97222,                0.68792,                0.87725,                0.65475,                0.70281,                0.70773,                0.47857,                 1.1291,                 0.7614,                0.91175,              1.486e-05,              1.486e-05,              1.486e-05
                     89,                0.96167,                 0.6809,                0.87299,                0.67451,                0.69824,                0.71258,                0.47909,                 1.1269,                0.74621,                0.91146,              1.387e-05,              1.387e-05,              1.387e-05
                     90,                0.96959,                0.68729,                0.87586,                0.67053,                0.69235,                0.71205,                 0.4786,                 1.1288,                0.74447,                0.91152,              1.288e-05,              1.288e-05,              1.288e-05
                     91,                0.99575,                0.77503,                0.87826,                0.69903,                0.67165,                0.69819,                0.47068,                 1.1338,                0.75724,                0.91313,              1.189e-05,              1.189e-05,              1.189e-05
                     92,                0.97787,                0.71716,                0.87538,                0.68964,                0.64237,                0.69675,                0.46911,                  1.146,                0.78034,                0.91759,               1.09e-05,               1.09e-05,               1.09e-05
                     93,                0.97789,                0.72302,                0.87244,                 0.6886,                0.67204,                0.69475,                0.46651,                 1.1519,                0.77936,                0.92081,               9.91e-06,               9.91e-06,               9.91e-06
                     94,                0.97367,                0.69296,                0.87519,                0.65815,                0.70061,                0.69219,                0.46492,                 1.1507,                0.77427,                0.92116,               8.92e-06,               8.92e-06,               8.92e-06
                     95,                0.96368,                0.69601,                0.87617,                0.66767,                0.69291,                0.69076,                0.46196,                 1.1502,                0.77404,                0.92034,               7.93e-06,               7.93e-06,               7.93e-06
                     96,                0.96252,                0.69551,                 0.8696,                0.68978,                0.67152,                0.68582,                0.45883,                 1.1547,                0.77917,                0.92166,               6.94e-06,               6.94e-06,               6.94e-06
                     97,                0.97172,                0.69476,                0.87117,                0.68353,                0.67502,                0.68619,                0.45925,                 1.1543,                0.77588,                0.92119,               5.95e-06,               5.95e-06,               5.95e-06
                     98,                0.95342,                0.67019,                0.87035,                0.67199,                0.67841,                0.69013,                0.46329,                 1.1485,                0.76872,                0.91868,               4.96e-06,               4.96e-06,               4.96e-06
                     99,                0.95154,                0.66954,                0.86912,                 0.6843,                 0.6768,                0.69042,                0.46524,                   1.15,                0.77193,                 0.9194,               3.97e-06,               3.97e-06,               3.97e-06
                    100,                0.95451,                0.68686,                0.87508,                0.67207,                0.68676,                0.69387,                0.46661,                 1.1484,                0.76967,                0.91846,               2.98e-06,               2.98e-06,               2.98e-06
